"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2023 15:45 - 01.01.2023 16:00 (CET/CEST)","4586","4148","n/e","1504","2131","308","n/e","n/e","23","1631","143","1166","34","n/e","2448","187","103","799","711","6689","22086"
"Germany (DE)","01.01.2023 16:00 - 01.01.2023 16:15 (CET/CEST)","4624","4243","n/e","1619","2296","308","n/e","n/e","24","705","207","1164","46","n/e","2451","187","103","327","711","6671","21585"
"Germany (DE)","01.01.2023 16:15 - 01.01.2023 16:30 (CET/CEST)","4644","4296","n/e","1631","2453","308","n/e","n/e","24","1931","416","1166","92","n/e","2452","187","103","85","715","6656","21085"
"Germany (DE)","01.01.2023 16:30 - 01.01.2023 16:45 (CET/CEST)","4646","4317","n/e","1632","2513","308","n/e","n/e","25","3049","325","1166","94","n/e","2453","187","103","7","725","6665","20675"
"Germany (DE)","01.01.2023 16:45 - 01.01.2023 17:00 (CET/CEST)","4661","4279","n/e","1618","2539","308","n/e","n/e","25","3820","159","1167","171","n/e","2452","187","103","0","734","6643","20227"
"Germany (DE)","01.01.2023 17:00 - 01.01.2023 17:15 (CET/CEST)","4699","4147","n/e","1586","2308","308","n/e","n/e","25","2335","149","1169","123","n/e","2456","187","103","0","739","6590","19871"
"Germany (DE)","01.01.2023 17:15 - 01.01.2023 17:30 (CET/CEST)","4717","4266","n/e","1597","2206","308","n/e","n/e","25","2910","147","1168","106","n/e","2456","187","103","0","744","6579","19771"
"Germany (DE)","01.01.2023 17:30 - 01.01.2023 17:45 (CET/CEST)","4711","4363","n/e","1616","2207","308","n/e","n/e","26","3050","147","1166","82","n/e","2457","187","103","0","744","6531","19772"
"Germany (DE)","01.01.2023 17:45 - 01.01.2023 18:00 (CET/CEST)","4729","4387","n/e","1607","2230","308","n/e","n/e","26","3652","140","1166","43","n/e","2458","187","103","0","744","6520","19826"
"Germany (DE)","01.01.2023 18:00 - 01.01.2023 18:15 (CET/CEST)","4717","4505","n/e","1668","2275","308","n/e","n/e","26","3338","328","1167","37","n/e","2458","187","103","0","747","6286","19748"
"Germany (DE)","01.01.2023 18:15 - 01.01.2023 18:30 (CET/CEST)","4715","4611","n/e","1652","2363","308","n/e","n/e","26","3553","356","1168","50","n/e","2458","187","103","0","740","6182","19561"
"Germany (DE)","01.01.2023 18:30 - 01.01.2023 18:45 (CET/CEST)","4709","4601","n/e","1644","2391","308","n/e","n/e","26","3404","375","1169","50","n/e","2456","187","103","0","734","6097","19555"
"Germany (DE)","01.01.2023 18:45 - 01.01.2023 19:00 (CET/CEST)","4701","4691","n/e","1665","2418","308","n/e","n/e","26","3054","314","1168","45","n/e","2457","188","103","0","739","6155","19294"
"Germany (DE)","01.01.2023 19:00 - 01.01.2023 19:15 (CET/CEST)","4686","4494","n/e","1644","2410","308","n/e","n/e","26","3547","372","1165","79","n/e","2459","194","106","0","739","6202","19026"
"Germany (DE)","01.01.2023 19:15 - 01.01.2023 19:30 (CET/CEST)","4679","4496","n/e","1654","2412","308","n/e","n/e","26","2893","526","1164","31","n/e","2459","195","106","0","729","6144","19166"
"Germany (DE)","01.01.2023 19:30 - 01.01.2023 19:45 (CET/CEST)","4676","4503","n/e","1640","2402","308","n/e","n/e","26","2670","366","1165","51","n/e","2458","192","105","0","734","5946","19243"
"Germany (DE)","01.01.2023 19:45 - 01.01.2023 20:00 (CET/CEST)","4674","4560","n/e","1625","2286","308","n/e","n/e","26","2282","390","1164","45","n/e","2459","187","103","0","740","5733","19222"
"Germany (DE)","01.01.2023 20:00 - 01.01.2023 20:15 (CET/CEST)","4633","4504","n/e","1664","2249","308","n/e","n/e","26","2627","163","1162","61","n/e","2461","187","103","0","743","5630","19391"
"Germany (DE)","01.01.2023 20:15 - 01.01.2023 20:30 (CET/CEST)","4619","4459","n/e","1671","2209","308","n/e","n/e","26","2034","226","1161","42","n/e","2463","188","103","0","744","5589","19474"
"Germany (DE)","01.01.2023 20:30 - 01.01.2023 20:45 (CET/CEST)","4620","4397","n/e","1677","2194","308","n/e","n/e","26","1288","556","1161","26","n/e","2464","188","103","0","741","5547","19551"
"Germany (DE)","01.01.2023 20:45 - 01.01.2023 21:00 (CET/CEST)","4624","4464","n/e","1675","2134","308","n/e","n/e","26","1002","1180","1160","16","n/e","2461","187","103","0","746","5605","19825"
"Germany (DE)","01.01.2023 21:00 - 01.01.2023 21:15 (CET/CEST)","4584","4547","n/e","1620","1901","308","n/e","n/e","26","1664","243","1160","15","n/e","2461","187","103","0","736","6164","19944"
"Germany (DE)","01.01.2023 21:15 - 01.01.2023 21:30 (CET/CEST)","4572","4518","n/e","1651","1917","308","n/e","n/e","26","1605","294","1161","15","n/e","2462","187","103","0","737","6151","19587"
"Germany (DE)","01.01.2023 21:30 - 01.01.2023 21:45 (CET/CEST)","4567","4505","n/e","1634","1918","308","n/e","n/e","26","1350","549","1163","15","n/e","2464","187","103","0","740","6131","19184"
"Germany (DE)","01.01.2023 21:45 - 01.01.2023 22:00 (CET/CEST)","4570","4504","n/e","1641","1917","308","n/e","n/e","26","1392","813","1163","15","n/e","2460","187","103","0","730","5942","19003"
"Germany (DE)","01.01.2023 22:00 - 01.01.2023 22:15 (CET/CEST)","4519","4504","n/e","1646","1909","304","n/e","n/e","27","1561","281","1158","74","n/e","2461","188","103","0","742","5599","18730"
"Germany (DE)","01.01.2023 22:15 - 01.01.2023 22:30 (CET/CEST)","4513","4506","n/e","1656","1904","305","n/e","n/e","26","1654","228","1155","46","n/e","2462","187","103","0","741","5218","18540"
"Germany (DE)","01.01.2023 22:30 - 01.01.2023 22:45 (CET/CEST)","4512","4505","n/e","1673","1887","306","n/e","n/e","26","1288","200","1152","66","n/e","2462","187","103","0","729","4916","18402"
"Germany (DE)","01.01.2023 22:45 - 01.01.2023 23:00 (CET/CEST)","4505","4605","n/e","1678","1889","306","n/e","n/e","26","753","347","1151","44","n/e","2461","188","103","0","732","4835","18252"
"Germany (DE)","01.01.2023 23:00 - 01.01.2023 23:15 (CET/CEST)","4456","4598","n/e","1670","1875","304","n/e","n/e","27","996","232","1150","36","n/e","2460","188","103","0","741","4952","18089"
"Germany (DE)","01.01.2023 23:15 - 01.01.2023 23:30 (CET/CEST)","4457","4553","n/e","1669","1865","306","n/e","n/e","27","226","458","1151","24","n/e","2459","187","103","0","741","4832","18180"
"Germany (DE)","01.01.2023 23:30 - 01.01.2023 23:45 (CET/CEST)","4451","4597","n/e","1651","1865","306","n/e","n/e","27","123","1048","1151","19","n/e","2460","187","103","0","738","4719","18335"
"Germany (DE)","01.01.2023 23:45 - 02.01.2023 00:00 (CET/CEST)","4431","4656","n/e","1672","1858","306","n/e","n/e","27","11","1875","1150","19","n/e","2463","187","103","0","744","4414","18329"
"Germany (DE)","02.01.2023 00:00 - 02.01.2023 00:15 (CET/CEST)","4358","4726","n/e","1722","1988","306","n/e","n/e","27","45","2289","1151","60","n/e","2463","186","103","0","741","3878","18412"
"Germany (DE)","02.01.2023 00:15 - 02.01.2023 00:30 (CET/CEST)","4352","4706","n/e","1698","1991","306","n/e","n/e","27","164","3311","1160","55","n/e","2463","186","103","0","743","3206","18577"
"Germany (DE)","02.01.2023 00:30 - 02.01.2023 00:45 (CET/CEST)","4355","4725","n/e","1715","1976","306","n/e","n/e","27","176","3866","1166","96","n/e","2463","186","103","0","747","2431","18712"
"Germany (DE)","02.01.2023 00:45 - 02.01.2023 01:00 (CET/CEST)","4356","4731","n/e","1720","1976","306","n/e","n/e","27","234","4077","1166","130","n/e","2462","186","103","0","735","2009","18708"
"Germany (DE)","02.01.2023 01:00 - 02.01.2023 01:15 (CET/CEST)","4332","4735","n/e","1676","1973","306","n/e","n/e","27","268","3697","1167","74","n/e","2459","186","103","0","737","1929","18947"
"Germany (DE)","02.01.2023 01:15 - 02.01.2023 01:30 (CET/CEST)","4328","4759","n/e","1668","1966","306","n/e","n/e","27","173","4278","1167","19","n/e","2462","186","103","0","736","1793","19261"
